待ちに待った最終回。どうなるんやら…,等了又等的最终回。会变成怎么样呢…
もしもあの改札の前で立ち止まらず歩いていれば,要是当初没在那个检票口前停下脚步走过去的话
反抗期キメてマッマに一泡吹かせたれ,进入反抗期给妈妈点颜色看看
SONY大勝利,SONY大胜利
男子だと特にゲームで友達作りやすいからなぁ,特别是男孩子很容易靠游戏交朋友呢
ゲーム機カーストは今でもあるんかい？,游戏机鄙视链现在还有吗？
なんだここ,这里是哪
よかたな,太好了呢
移動した先で漂流するんやろ？（すっとぼけ）,移动过去后会漂流吧？(装傻)
モブかわいい,路人好可爱
東くんに必要だったのは母親以外の拠り所、フツーに一緒に遊べる友達だったんやなって,东君需要的是母亲以外的依靠、能普通地一起玩的朋友啊
通信ケーブルは友達の絆,通信电缆是朋友的羁ゅ绊
東くんとってしずかちゃんに関わらないことが最善という…,对东君来说不和静香酱扯上关系是最好的…
単純に登場人物絞っていたわけじゃなく本当に友人すらいなかった,不是单纯地压缩了登场人物，是真的连朋友都没有
よかったねナオキ君,太好了呢直树君
よくやったSONY,干得好SONY
何でもう誰もswitch2の話してないんですか？,为什么已经没人说switch2的事了？
今でもゲーム機は友達づくりの最強ツールだぞ,现在游戏机也是交朋友的最强工具哦
「移動教室」ってなんというか残念。言葉がね。,「移动教室」该怎么说好遗憾。这个词语。
教室が移動するのか,是教室移动吗
PCエンジン持ってるとカースト上がった時代もあったのじゃよ,也有过有PC Engine的话地位就会上升的时代哦
今のPSはもう・・・,现在的PS已经・・・
ゲーム（仮面ライダークロニクル）,游戏（假面骑士编年史）
通信ケーブル持ってる人のカーストがやんわり高かった記憶,记忆里有通信电缆的人地位会稍微高一点
東救済,东救济
やはりゲームが神,果然游戏是神
兄貴への憧れの中に「人に囲まれる」ってのもあったもんな。いっぱい頼ったり頼られたりしろ,对哥哥的憧憬里也有「被人围绕」这点呢。多依赖别人也被别人依赖吧
ゲーム（ブラッドボーン）,游戏（血源诅咒）
平成ならプレステが人気なのか、、、？,平成的话是PS有人气吗、、、？
ゲーム(仮面ライダークロニクル),游戏(假面骑士编年史)
ゲーム（姉汁）,游戏（姉汁）
依存先が変わったっぴねぇ,依赖的对象变了pi呢
やっぱ最新ゲーム機あるとヒーローだよな,果然有最新游戏机就是英雄啊
←エルドラン「指令室に変形する教室だってあるぞ」,←Eldran「也有能变形成司令室的教室哦」
必要なのは些細なキッカケだったんだ…,需要的是微小的契机啊…
ゲーム（アストロボット）,游戏（宇宙机器人）
とかってなんだよ,什么的算什么啊
タコピーいなかったらこうなってたのか,没有小章鱼的话就会变成这样吗
ハッピーだっぴ,Happy了pi
みんなちょっとずつ記憶残ってる？,大家都有点留下记忆了？
キノコモブ,蘑菇路人
勉強ばかりじゃなくて遊べるようになったんだな,变得不只是学习也能玩了呢
ゲハ豚こんなところにも沸くんだ,Geha猪这种地方也会涌现啊
ゲーム(サモンライド),游戏(召唤骑士)
ゲーム(摩訶摩訶),游戏(摩诃摩诃)
PSぐらい女子小学生でも知ってるぞ・・・現実見ろPSアンチ,PS什么的连女小学生都知道哦・・・看看现实吧PS anti
本当に1人の犠牲で幸せはなりたつんやな,真的靠1个人的牺牲幸福就能成立呢
ゲーム（超兄貴）,游戏（超兄贵）
この作品、最後まで「友達」という道を示してなかったの巧妙なんだよな,这部作品，直到最后都没指出「朋友」这条路，真巧妙
Bloodborneやろうぜ！,来玩血源吧！
関わらない選択に,不扯上关系的选择
←違うぞ、兄と喧嘩した結果こうなった,←不对哦，和哥哥吵架的结果才变成这样的
コントローラーだけ持ってる←なんでだよが好き,喜欢那个“只有手柄”←“为什么啊”
ゲーム(バーコードバトラー),游戏(条码对战机)
2016年だからギリSwitch前か,2016年所以勉强在Switch前吗
新しいの（Nintendo Switch 2）,新的（Nintendo Switch 2）
ソニーは今もCS業界でトップだよ,SONY现在也是CS业界第一哦
ゲーム（せがれいじり,游戏(SEGA小子)
←ライジンオー「せやで」,←雷神王「是哦」
タコピーがいなきゃこうなってないぞ,没有小章鱼的话不会变成这样的哦
ほんとうになんで？,真的是为什么？
セガなんてダッセーよな,SEGA什么的太土了吧
無理に背伸びせず相応の子供として振る舞うのが最適解だったんやね,不逞强，作为相应的孩子行动是最佳解呢
DQ11,DQ11
東くんにも存在しないはずの記憶が干渉してこの世界では喧嘩したんやなって...,本不存在的记忆也干涉了东君，在这个世界吵架了呢...
Switch2,Switch2
東君だけでも救われそうでよかった・・・,只有东君能得救太好了・・・
なんでコントローラーだけあんだよ,为什么只有手柄啊
64でスマブラとか007やってた頃はコントローラーだけ自前だったな,玩64的大乱斗或007的时候是自己带手柄呢
steam用に買った,买来玩steam的
何で？（困惑）,为什么？（困惑）
なんでだよ…,为什么啊…
ここ何気ないけど重要な選択肢,这里是不经意但很重要的选项
プロコンしか手元にないSwitch2本体難民救済…にはならねぇよ！,Switch2本体难民只有专业手柄救济…不了的哦！
親が学生ロボコン大会で使ってたやつとか？,是父母在学生机器人大赛里用的之类的？
コントローラーニキすこｗ,喜欢手柄哥w
:),:)
Steam用か,是Steam用的吗
ふーん、おもしレェ女,哼—，有意思的女人
幸せEND,幸福END
ワイはサントラの楽譜だけ持ってた,我只有原声带的乐谱
なんでだよｗ,为什么啊w
なんでだよッ,为什么啊
ゲーム買えなくて攻略本だけ買ってたわ,买不了游戏只买了攻略本哦
この翌年、バケモノハードがでます,第二年，怪物硬件就要出了
steamやろなぁ,是steam吧
サクラ大戦3のOP見てから言いたまえ,看了樱花大战3的OP再说
コントローラーだけ...？,只有手柄...？
攻略本ニキ仲間だ,攻略本哥是同伴啊
コントローラーだけあるはあっくん適性高い,只有手柄很有あっくん的潜质
ちょっとしたきっかけで友達出来た,因为一点小事交到朋友了
なんでだよ…,为什么啊…
モブ子のコントローラーだけあるの笑うｗ,路人妹子只有手柄笑了w
今の子おもろいやん,现在的孩子真有趣
コントローラだけw,只有手柄w
64はコントローラだけ持ってる子とかいたぞ,64的时候有过只有手柄的孩子哦
じゅんや以外で初めて名前を呼んでくれる存在が,是润也以外第一个叫他名字的存在
まりなちゃんが殺された記憶ものこってる世界線,还留有真理奈酱被杀了的记忆的世界线
簡単なことだったんだよ,是很简单的事哦
Swich2のプロコンだけある人みたいだな,像只有Switch2专业手柄的人一样
そういえばメガネが新しいやつになってるな,说起来眼镜换成新的了呢
コントローラーだけあるのおもろすぎる,只有手柄太有趣了
N64やGCはコントローラー各自持ち寄って遊んでたわ,N64和GC是各自带手柄来玩的哦
コントローラーだけ買ってくる父ちゃん,只买手柄回来的爸爸
SONY 戻ってきて…,SONY 回来吧…
ともだちんち,朋友家
ナオキです。,是直树。
新しい眼鏡,新眼镜
PC用かもしれん,可能是PC用的
ナオキは言い過ぎだろ…,直树太过分了吧…
コントローラー坊やの父ちゃん絶対酔っぱらって買ってきただろ,手柄小子的爸爸绝对是喝醉了买回来的吧
ここ元からかもだけど直樹呼びされてて｢東家｣じゃなくて｢直樹｣を見てる感あって泣ける,这里可能本来就是，但被叫了直树，有种不是在看「东家」而是在看「直树」的感觉，哭了
コントローラーだけあるの６４で通った道だ,只有手柄是64时走过的路
良い友人達がいれば淫売に引っかからないで済む（結論）,只要有好的朋友就不会被婊子缠上（结论）
身長は…ナオキです…,身高是…直树です…
直樹呼びだ！,叫直树了！
魔性の女児にひっかからなかった,没被魔性的女童缠上
下の名前呼びしてくれるやつ出来たんやな…,有叫他下面的名字的人了呢…
ジョージ＾ー,乔治＾ー
ここでナオキはダメだろ,在这里直树不行吧
×依存関係　◯共存関係,×依存关系　◯共存关系
ナオキは言い過ぎだろ,直树太过分了吧
「直樹」呼び・・・,叫「直树」・・・
ナオキは言い過ぎ,直树太过分了
声をかける　▶声をかけない,▶搭话　不搭话
ナオキ言いすぎだろ…,直树太过分了吧…
Nワード使う小学生…世も末だな,用N-word的小学生…真是世风日下啊
東くんは兄貴へのコンプを解消し、女に入れ込まなくなった,东君消除了对哥哥的情结，不再沉迷女人了
ここ「東」じゃなくて「直樹」と呼ばれてるのポイント,这里被叫的不是「东」是「直树」是重点
全国のナオキさんへ全力で土下座しろ,给全国的直树桑全力下跪吧
メガドライブ俺も持ってた,我也曾有过Mega Drive
もうこいつに関わるな,别再和这家伙扯上关系了
なおきん,直树金
友達がいるって点では東君は救われたのかもな…,有朋友这点上东君可能得救了吧…
学校で淫夢ごっこは恥ずかしいんだよ！,在学校玩淫梦梗很羞耻的哦！
ナオキはあんまりだろ…,直树太过分了吧…
直樹呼びとメガネがくるよね…,叫直树和眼镜让我受不了了…
そいつに関わるな😱,别和那家伙扯上关系😱
ここで下手に干渉しないことを選んだ東くん,在这里选择了不轻易干涉的东君
そいつに一度関わったら高校まで響くぞ,和那家伙扯上一次关系会影响到高中哦
え、ループ再開からこの期間で仲良くなってんの,欸，从loop再开到这段时间里关系变好了吗
ゲーマーの誕生だ、祝え,玩家的诞生，庆祝吧
ナオキは酷すぎるだろ…,直树太残酷了吧…
マザコンじゃない！？,不是妈宝了吗！？
小学生がナオキとかいうんじゃないよ,小学生别说直树什么的
この世界の東くんは久世しずかとは違う道に進んだ,这个世界的东君走向了和久世静香不同的道路
