就是这张脸,この顔です
是啊都说人随着对话的增多会互相理解呢ww,そうだね会話を重ねるたびに人は分かりあうっていうしねｗｗ
是吗…是吗…,そうかな…そうかな…
这章鱼，果然太纯洁了,このタコ、やはり無垢過ぎる
果然异文化好可怕呢,やっぱり異文化って怖いね
章鱼P在茉莉奈酱的家里好像压力会比较小,タコピーの方がまりなちゃんの家庭でもストレス少なそう
差不多该学点了吧？,さすがに少しは学ぼうね？
关系好、、、?,仲良し、、、?
老爸啊…,親父さぁ…
怎么可能啊！,んな訳ねぇだろ！
都说越吵关系越好呢,喧嘩するほど仲が良いって言うしな
关系好是指,仲良しとは
脑袋是HAPPY星人吗！,頭ハッピー星人かよ！
你精神状态很奇怪哦…,お前精神状態おかしいよ・・・
是吗…也许吧,そうかな・・・そうかも
脑子不正常哦…,あたまおかしいよ・・・
如果你那么想的话那就是那样吧？在你的世界里,君がそう思うならそうなんじゃない？君の中では
哦、哦,お、おぅ
你是无敌的吗？,お前無敵か？
这家伙还没理解恶意吗,まだ悪意が理解できてないのかコイツ
对话内容很过分啊,お話の内容がえげつないんだが
不行了这家伙…得快点想想办法…,ダメだこいつ…早くなんとかしないと…
耳朵堵住了吧,耳詰まってんだろ
HAPPY星人辛苦了,ハッピー星人乙
是、是啊皮呢…,そ、そうっピね…
是、是啊,せ、せやな
看了这么多修罗场还能觉得这状态是正常的吗…,これだけ修羅場見てまだこの状態を正常と思えてるのか…
聊天,お話
垃圾章鱼…,クソダコがよ…
为什么会得出这个结论w,どうしてその結論に至ったw
吵死了,うるせえ
是吗…也许吧…（感觉麻痹）,そうかな・・・そうかも・・・（感覚麻痺）
这家伙只要不被打精神方面就最强了,こいつ殴られない限り精神面最強だな
HAPPY星人不进行夫妻对话吗？w,ハッピー星人は夫婦会話しないのか？w
嘛 理解不了反而幸福也挺好的不是吗？,まあ理解できてない方が幸せだしええやん？
脑袋是HAPPY星人吗？？,頭ハッピー星人か？？
嗯、嗯嗯？,ん、んん？
诶…？,えぇ…？
哈？？,は？？
无知的精神力太强了！,無知のメンタル強すぎぃ！
你啊,お前よ
你在说什么啊,何言ってんだお前
不愧是章鱼,さすがタコ
差不多该学点了吧？,さすがに少しは学ぼうね？
这是真正的HAPPY的秘诀,これが本物のハッピーの秘訣です
理解不了恶意吧,悪意を理解出来ないんだろうね
这种家庭环境的话像章鱼P一样什么都不知道反而更好吧,こんな家庭環境ならタコピーみたいに何も知らない方がかえっていいかもね
脑袋太HAPPY星人了皮！,頭ハッピー星人すぎるッピ！
脑袋太HAPPY星人了皮！,頭ハッピー星人すぎるッピ！
就是你这种地方哦,そういうとこやぞ
关〇好！关〇好！,なか〇し！なか〇し！
无知真可怕啊…,無知って怖いなぁ・・・
是吗…,そうかな・・・
哦、是啊皮呢,おっ、そうだッピね
诶诶…,ええ…
总觉得草,なんか草
现实逃避,現実逃避
没有人心之类的吗？没有吧…,人の心とかないんか？ないわな...
是啊ー,そうだなー
再多一点去理解不同星球的感觉之类的啊,もっとこう異なる星の感覚を理解しようとかさあ
没有恶意这个概念,悪意という概念がない
是蜕皮呢！,そう脱皮ね！
聊天,お話
也许吧…,そうかも…
是因为闭着眼吧你这章鱼,目つぶってるからだろこのタコ
不,いや
揍你一顿哦这章鱼,ぶん殴ったろかこのタコ
是吗啊…,そっかなぁ…
你才更非生产性,お前の方が非生産的
别再脑袋HAPPY SET了,頭ハッピーセットやめろ
哈？,ハァ？
这家伙啊,こいつさあ
你的现状认识很奇怪哦…,お前現状認識おかしいよ・・・
不会吧,うそやろ
是吗…？也许吧…,そうかな…？そうかも…
脑袋HAPPY星人就是因为这样…,頭ハッピー星人はこれだから…
是啊皮呢,そうだっピね
睁开眼看看？,目ぇ開けてみ？
你的脑袋是HAPPY SET吗w,お前の頭ハッピーセットかよw
不行了这家伙…,ダメだこいつ・・・
嗯ー这个脑袋HAPPY SET,うーんこの頭ハッピーセット
在HAPPY星人的感觉里「对话能产生HAPPY」所以多说话就是更HAPPY的关系,ハッピー星人の感覚では「話し合いがハッピーを産む」のでたくさん話すことはよりハッピーな関係なのだ
诶诶…,ええ…
章鱼P的精神强得像鬼！,タコピーのメンタル鬼つええ！
诶？？,え？？
哈？？,は？？
原来如此啊,なるほどなあ
关系好...?,仲良し...?
毕竟不是人……,人じゃないし……
嘛章鱼P觉得那样就行的话就算了吧！（HAPPY END）,まぁタコピーがそれでいいならええか！（ハッピーエンド）
你这脑袋HAPPY星人,頭ハッピー星人がよお
关系好在哪里…？这里…？,なかよしはどこ…？ここ…？
死了的话连话都说不了了呢,死んだら話もできないしな
这放着不管的话说不定会变成是父母干的吧？,これほっといてもワンチャン親がやったことになったのでは？
哦是啊皮呢,おっそうだっぴな
关系好…？,仲良し…？
是吗？也许吧？…,そうかな？そうかも？…
是吗。。。,そうかな。。。
我爸妈老是吵架原来是这么回事吗！谢谢你章-P！！,うちの親も喧嘩ばっかしてたのはそういう事だったのか！ありがとうタコピー！！
这家伙的脑袋也用HAPPY照相机打一下比较好吧,こいつの頭もハッピーカメラで殴っといた方がいいだろ
章鱼ww,たこｗｗ
快用那个缎带啊…,はやくあのリボン使えよォ…
????????????????,????????????????
好TM可怕…,くっそ怖ぇ....
男人要是有普通人的人权意识的话就不会有欺凌了,男に人並の人権意識があればイジメなんて起きなかった
是啊皮呢！,そうだっぴね！
脑袋太HAPPY SET了,頭ハッピーセットすぎる
能面对面说话已经算关系好了…,対面で話できるだけまだ仲良しなんだよなあ…
嗯！是啊！,ん！そうだな！
章鱼P你啊,タコピーおまえよぉ
看起来是这样啊…,そう見えるんだ・・・
感性ww,感性ｗｗ
哈？w,は？ｗ
无关心程度的理解度 草,無関心レベルの理解度は草
啊，是吗…,あ、そっかぁ…
哦、哦？,お、おう？
是花田脑吗,お花畑かよ
你丫,てめぇ
你差不多该能感受到恶意了吧w,お前いいかげん悪意を感じ取れるようになれｗ
这家伙是无敌的吗？,こいつ無敵か？
这就是家庭团圆酱吗,これが家族団欒ちゃんですか
真的知道关系好这个概念吗？w,仲良しって概念ホントにご存知？w
是吗，虽然害怕茉莉奈酱，但那只是记住了暴力的恐怖，现在还是不懂愤怒和不高兴啊…,そっか、まりなちゃんのことは怖がってたけど、あれは暴力の怖さを覚えただけで、怒りや不機嫌は今も分かんないんだな…
在SNS上经常看到类似的对话原来大家关系都很好吗…,SNSで似たような会話よく見るけどみんな仲良しだったのか…
章鱼P什么都没错哦,タコピ―何も悪くねえよ
已经用HAPPY照相机变得脑袋HAPPY了吗,もうハッピーカメラで頭ハッピーになったのか
真是这家伙,ほんまこいつ
只是在吵架已经算好的了（颤抖声）,喧嘩してるだけまだマシなんやで（震え声）
名为对话的暴力,会話という暴力
你很奇怪哦,お前おかしいよ
不不,いやいや
这家伙精神力最强了吧,メンタル最強やろこいつ
是得了斯德哥尔摩综合征吗？,ストックホルム症候群でも発症してる？
嘛 我倒是觉得这妈妈这边问题也挺大的…,まぁこの母の方にも問題かなりありそうだなとは思っていたが・・・
我也和上司聊了很多,俺も上司とたくさんお話してる
嗯嗯,んん
POSITIVE,ポジティブ
喂……,おい……
真温馨呢,ほほえましいね
胡子男…,ヒゲマン…
太牙白了,やばすぎる
卧槽卧槽,えぐいえぐい
每天看这个的茉莉奈酱精神上肯定很受打击吧,これ毎日見てたまりなちゃん相当メンタルに来るだろ
妈妈在哭还这样也太过分了吧,お母さん泣いてるのにそれはないだろ
精神虐待太过分了,モラハラがすぎる
没有评论感觉要被疯狂吞噬了,コメント無いと狂気に飲まれそう
关系好…？,仲良し…？
关系好w,仲良しｗ
章鱼P感觉知道淫梦,タコピーって淫夢知ってそう
钢铁精神,鋼メンタル
24度不冷吗？,24寒く無い？
能明白章鱼P说的「聊天」是多么肤浅的意思了呢,タコピーの言う「おはなし」がどれだけ浅い意味か分かるね
聊了很多…??,たくさんお話…??
幸福的家庭,幸せな家庭
乔比快回那个世界去,チョビはあっちの世界に帰って
聊了很多,たくさんお話
这种家感觉胃要绞痛了,胃がキリキリしそうだこんな家
关系好蜕皮,仲良し脱皮
←和上司关系很好真好皮呢！,←上司と仲良さそうで良いピね！
垃圾男人,クソ男が
就是看怎么看事物了皮呢♥,物のとらえ方次第ってことだっびね♥
嗯,おん
和无惨又不一样，你是绝对无法互相理解的种族啊…,無惨とはまた違う、絶対分かり合えない種族なんだな君は…
没有人性啊。,人の心がねぇ。
没有心就是最强的精神力啊,心が無いって最強のメンタルだよな
看起来极度无所谓 草,至極どうでもよさそうで草
也有越吵关系越好的说法皮呢,喧嘩するほど仲がいいって言葉もあるっピねぇ
每天都这样好讨厌啊,これ毎日とか嫌だな
关系真好呢,仲良しだね
这看起来像关系好吗…,これが仲良しに見えるのか・・・
被侵蚀了,侵食されてる
痊愈了,完治してる
果然是男人不好,やっぱり男が悪い
不对，这与其说是章鱼P，不如说父母更牙白吧。 看到自己的牢骚被笑着听着，一般会反应说「怎么了？」的，结果没有哦？,いや、これタコピーじゃなく両親の方がやべーだろ。　自分達の愚痴を笑顔で聞いてたら、普通は「どうしたの？」と反応するのに、しねーんだぞ？
